ID,global,MKI67,ERBB2,CDKN2A,...
PS1,0.521496599,0.032408074,0.889007753,0.175799153,
PS2,0.461518673,0.032681063,0.870864258,0.086437674,
PS3,0.47444893,0.034002988,0.913522805,0.157728678,
PS4,0.507350147,0.029312608,0.872199181,0.068174595,
PS5,0.469447966,0.036671642,0.851975033,0.164343853,
PS6,0.449407888,0.033762213,0.740642685,0.110857372,
PS7,0.435822469,0.036240346,0.834183506,0.09034744,
PS8,0.492389594,0.037408079,0.843464793,0.539751057,
PS9,0.478001664,0.081708568,0.664263532,0.32310258,
PS10,0.484076332,0.046783795,0.734015341,0.19990193,
